nationality,country
American,United States
American-Italian,United States/Italia
Argentine,Argentina
Argentine-Italian,Argentina/Italia
Australian,Australia
Austrian,Austria
Belgian,Belgium
Brazilian,Brazil
British,United Kingdom
Canadian,Canada
Chilean,Chile
Colombian,Colombia
Czech,Czech Republic
Danish,Denmark
Dutch,Netherlands
East German,Germany
Finnish,Finland
French,France
German,Germany
Hungarian,Hungary
Indian,India
Indonesian,Indonesia
Irish,Ireland
Italian,Italia
Japanese,Japan
Liechtensteiner,Liechtenstein
Malaysian,Malaysia
Mexican,Mexico
Monegasque,Monaco
New Zealander,New Zealand
Polish,Poland
Portuguese,Portugal
Rhodesian,Zimbabwe
Russian,Russia
South African,South Africa
Spanish,Spain
Swedish,Sweden
Swiss,Switzerland
Thai,Thailand
Uruguayan,Uruguay
Venezuelan,Venezuela
